order_id,date,customer_id,product,quantity,price,city,country
1,2021-01-05,1001,Widget A,2,19.99,New York,USA
2,05/02/2021,1002,Widget B,1,29.99,new york,USA
3,2021/03/15,1003,Widget A,5,19.99,Los Angeles,USA
4,2021/03/15,1003,Widget A,5,19.99,Los Angeles,USA
5,2021-04-01,1004,Widget C,,49.99,Chicago,USA
6,2021-04-20,1005,Widget B,3,,Chicago,USA
7,2021/05/10,1006,Widget D,2,9.99,Bogotá,Colombia
8,10-06-2021,1007,Widget E,1,99.99,São Paulo,Brazil
9,2021-07-15,1008,Widget A,10,19.99,los angeles,USA
10,2021-08-01,1009,,4,15.00,Miami,USA
